סמינרים,,,,,,
אחר,,,סמל מוסד,,,
בדרך אימותינו,,דרכיה,660613,,,"3,001"
בית ברכה,,החדש,741348,,,"3,002"
דרכיה,660613,הישן ירושלים,189084,,,"3,003"
החדש,741348,הישן קנר,284091,,,"3,004"
הירושלמי,,ישן ירושלים,190066,,,"3,005"
הישן,284091,מעלות דבורה,670182,,,"3,006"
הכל,,משמרת מאיר יסודי,131219,,,"3,007"
ועדת רבנים,,משנת יהודה,124099,,,"3,008"
כלל חסידי,373183,נתיבות שלום בנים,163022,,,"3,009"
מאור ירושלים,,סמינר משמרת מאיר,442699,,,"3,010"
מורשת ירושלים,,סמינר נתיבות שלום,740688,,,"3,011"
מורשת שמחה,631440,סניף,560300,,,"3,012"
מעיינות בית רבקה,,סניף,560300,,,"3,013"
מעלות דבורה,670182,עטרת חיה מושקא,430124,,,"3,014"
מקדמת,,פסגות,642835,,,"3,015"
משמרת מאיר,442699,קול יעקב,238097,,,"3,016"
נעם,,שירת ביתר,670240,,,"3,017"
נתיבות חכמה,,תבונות,711564,,,"3,018"
נתיבות שלום,740688,תורת חיים,632323,,,"3,019"
סניף,560300,תורת חיים,632323,,,"3,020"
ע.חיה מושקא(בנות חנה),,נתיבות שלום-יסודי,442616,,,"3,021"
עדיין לא שובץ,,,,,,"3,022"
פסגות מרכז,642835,,,,,"3,023"
שירת ביתר,670240,,,,,
שירת ביתר ט2,,,,,,"3,024"
תבונות,711564,,,,,"3,025"
תושב חוץ,,,,,,"3,026"
,,,,,,"3,027"
,,,,,,"3,028"
,,,,,,"3,029"
,,,,,,"3,030"
,,,,,,"3,031"
,,,,,,"3,032"
,,,,,,"3,033"
,,,,,,"3,034"
,,,,,,"3,035"
,,,,,,"3,036"
,,,,,,"3,037"
,,,,,,"3,038"
,,,,,,"3,039"
,,,,,,"3,040"
,,,,,,"3,041"
,,,,,,"3,042"
,,,,,,"3,043"
,,,,,,"3,044"
,,,,,,"3,045"
,,,,,,"3,046"
,,,,,,"3,047"
,,,,,,"3,048"
,,,,,,"3,049"
,,,,,,"3,050"
,,,,,,"3,051"
,,,,,,"3,052"
,,,,,,"3,053"
,,,,,,"3,054"
,,,,,,"3,055"
,,,,,,"3,056"
,,,,,,"3,057"
,,,,,,"3,058"
,,,,,,"3,059"
,,,,,,"3,060"
,,,,,,"3,061"
,,,,,,"3,062"
,,,,,,"3,063"
,,,,,,"3,064"
,,,,,,"3,065"
,,,,,,"3,066"
,,,,,,"3,067"
,,,,,,"3,068"
,,,,,,"3,069"
,,,,,,"3,070"
,,,,,,"3,071"
,,,,,,"3,072"
,,,,,,"3,073"
,,,,,,"3,074"
,,,,,,"3,075"
,,,,,,"3,076"
,,,,,,"3,077"
,,,,,,"3,078"
,,,,,,"3,079"
,,,,,,"3,080"
,,,,,,"3,081"
,,,,,,"3,082"
,,,,,,"3,083"
,,,,,,"3,084"
,,,,,,"3,085"
,,,,,,"3,086"
,,,,,,"3,087"
,,,,,,"3,088"
,,,,,,"3,089"
,,,,,,"3,090"
,,,,,,"3,091"
,,,,,,"3,092"
,,,,,,"3,093"
,,,,,,"3,094"
,,,,,,"3,095"
,,,,,,"3,096"
