סמינרים,,,,,,
אחר,,,סמל מוסד,,,
בדרך אימותינו,,דרכיה,660613.0,,,3001.0
בית ברכה,,החדש,741348.0,,,3002.0
דרכיה,660613.0,הישן ירושלים,189084.0,,,3003.0
החדש,741348.0,הישן קנר,284091.0,,,3004.0
הירושלמי,,ישן ירושלים,190066.0,,,3005.0
הישן,284091.0,מעלות דבורה,670182.0,,,3006.0
הכל,,משמרת מאיר יסודי,131219.0,,,3007.0
ועדת רבנים,,משנת יהודה,124099.0,,,3008.0
כלל חסידי,373183.0,נתיבות שלום בנים,163022.0,,,3009.0
מאור ירושלים,,סמינר משמרת מאיר,442699.0,,,3010.0
מורשת ירושלים,,סמינר נתיבות שלום,740688.0,,,3011.0
מורשת שמחה,631440.0,סניף,560300.0,,,3012.0
מעיינות בית רבקה,,סניף,560300.0,,,3013.0
מעלות דבורה,670182.0,עטרת חיה מושקא,430124.0,,,3014.0
מקדמת,,פסגות,642835.0,,,3015.0
משמרת מאיר,442699.0,קול יעקב,238097.0,,,3016.0
נעם,,שירת ביתר,670240.0,,,3017.0
נתיבות חכמה,,תבונות,711564.0,,,3018.0
נתיבות שלום,740688.0,תורת חיים,632323.0,,,3019.0
סניף,560300.0,תורת חיים,632323.0,,,3020.0
ע.חיה מושקא(בנות חנה),,נתיבות שלום-יסודי,442616.0,,,3021.0
עדיין לא שובץ,,,,,,3022.0
פסגות מרכז,642835.0,,,,,3023.0
שירת ביתר,670240.0,,,,,
שירת ביתר ט2,,,,,,3024.0
תבונות,711564.0,,,,,3025.0
תושב חוץ,,,,,,3026.0
,,,,,,3027.0
,,,,,,3028.0
,,,,,,3029.0
,,,,,,3030.0
,,,,,,3031.0
,,,,,,3032.0
,,,,,,3033.0
,,,,,,3034.0
,,,,,,3035.0
,,,,,,3036.0
,,,,,,3037.0
,,,,,,3038.0
,,,,,,3039.0
,,,,,,3040.0
,,,,,,3041.0
,,,,,,3042.0
,,,,,,3043.0
,,,,,,3044.0
,,,,,,3045.0
,,,,,,3046.0
,,,,,,3047.0
,,,,,,3048.0
,,,,,,3049.0
,,,,,,3050.0
,,,,,,3051.0
,,,,,,3052.0
,,,,,,3053.0
,,,,,,3054.0
,,,,,,3055.0
,,,,,,3056.0
,,,,,,3057.0
,,,,,,3058.0
,,,,,,3059.0
,,,,,,3060.0
,,,,,,3061.0
,,,,,,3062.0
,,,,,,3063.0
,,,,,,3064.0
,,,,,,3065.0
,,,,,,3066.0
,,,,,,3067.0
,,,,,,3068.0
,,,,,,3069.0
,,,,,,3070.0
,,,,,,3071.0
,,,,,,3072.0
,,,,,,3073.0
,,,,,,3074.0
,,,,,,3075.0
,,,,,,3076.0
,,,,,,3077.0
,,,,,,3078.0
,,,,,,3079.0
,,,,,,3080.0
,,,,,,3081.0
,,,,,,3082.0
,,,,,,3083.0
,,,,,,3084.0
,,,,,,3085.0
,,,,,,3086.0
,,,,,,3087.0
,,,,,,3088.0
,,,,,,3089.0
,,,,,,3090.0
,,,,,,3091.0
,,,,,,3092.0
,,,,,,3093.0
,,,,,,3094.0
,,,,,,3095.0
,,,,,,3096.0
,,,,,,3097.0
,,,,,,3098.0
,,,,,,3099.0
,,,,,,3100.0
,,,,,,3101.0
,,,,,,3102.0
,,,,,,3103.0
,,,,,,3104.0
,,,,,,3105.0
,,,,,,3106.0
,,,,,,3107.0
,,,,,,3108.0
,,,,,,3109.0
,,,,,,3110.0
,,,,,,3111.0
,,,,,,3112.0
,,,,,,3113.0
,,,,,,3114.0
,,,,,,3115.0
,,,,,,3116.0
,,,,,,3117.0
,,,,,,3118.0
,,,,,,3119.0
,,,,,,3120.0
,,,,,,3121.0
,,,,,,3122.0
,,,,,,3123.0
,,,,,,3124.0
,,,,,,3125.0
,,,,,,3126.0
,,,,,,3127.0
,,,,,,3128.0
,,,,,,3129.0
,,,,,,3130.0
,,,,,,3131.0
,,,,,,3132.0
,,,,,,3133.0
,,,,,,3134.0
,,,,,,3135.0
,,,,,,3136.0
,,,,,,3137.0
,,,,,,3138.0
,,,,,,3139.0
,,,,,,3140.0
,,,,,,3141.0
,,,,,,3142.0
,,,,,,3143.0
,,,,,,3144.0
,,,,,,3145.0
,,,,,,3146.0
,,,,,,3147.0
,,,,,,3148.0
,,,,,,3149.0
,,,,,,3150.0
,,,,,,3151.0
,,,,,,3152.0
,,,,,,3153.0
,,,,,,3154.0
,,,,,,3155.0
,,,,,,3156.0
,,,,,,3157.0
,,,,,,3158.0
,,,,,,3159.0
,,,,,,3160.0
,,,,,,3161.0
,,,,,,3162.0
,,,,,,3163.0
,,,,,,3164.0
,,,,,,3165.0
,,,,,,3166.0
,,,,,,3167.0
,,,,,,3168.0
,,,,,,3169.0
,,,,,,3170.0
,,,,,,3171.0
,,,,,,3172.0
,,,,,,3173.0
,,,,,,3174.0
,,,,,,3175.0
,,,,,,3176.0
,,,,,,3177.0
,,,,,,3178.0
,,,,,,3179.0
,,,,,,3180.0
,,,,,,3181.0
,,,,,,3182.0
