שם,מועצה,הוקם,מגזר,תושבים_מרשם_2026,תושבים_ויקי_2025,אוכלוסייה_אומדן_עדכני,משפחות_מקור_ישיר,שנת_משפחות,בתי_אב_אומדן,מקור_אוכלוסייה,אופן_חישוב_בתי_אב
אבני חפץ,שומרון,1990,דתי-לאומי,2742,2670,2742,,,548,מרשם:2742 | ויקי:2670,אומדן (5.0 נפ׳/בא)
איתמר,שומרון,1984,דתי-לאומי,1734,1641,1734,,,347,מרשם:1734 | ויקי:1641,אומדן (5.0 נפ׳/בא)
אלון מורה,שומרון,1980,דתי-לאומי,2164,2075,2164,,,433,מרשם:2164 | ויקי:2075,אומדן (5.0 נפ׳/בא)
ברכה,שומרון,1983,דתי-לאומי,3404,3318,3404,,,681,מרשם:3404 | ויקי:3318,אומדן (5.0 נפ׳/בא)
חוות גלעד,שומרון,2002,דתי-לאומי,,,400,80,2024,80,אומדן ממשפחות,מקור ישיר
חרמש,שומרון,1983,דתי-לאומי,304,298,304,,,61,מרשם:304 | ויקי:298,אומדן (5.0 נפ׳/בא)
יצהר,שומרון,1983,דתי-לאומי,2707,2495,2707,,,541,מרשם:2707 | ויקי:2495,אומדן (5.0 נפ׳/בא)
מבוא דותן,שומרון,1981,דתי-לאומי,955,838,955,,,191,מרשם:955 | ויקי:838,אומדן (5.0 נפ׳/בא)
נופי נחמיה,שומרון,2002,דתי-לאומי,,,470,94,2023,94,אומדן ממשפחות,מקור ישיר
עינב,שומרון,1981,דתי-לאומי,1345,1265,1345,,,269,מרשם:1345 | ויקי:1265,אומדן (5.0 נפ׳/בא)
רחלים,שומרון,1991,דתי-לאומי,1348,1262,1348,,,270,מרשם:1348 | ויקי:1262,אומדן (5.0 נפ׳/בא)
שבי שומרון,שומרון,1977,דתי-לאומי,1182,1178,1182,,,236,מרשם:1182 | ויקי:1178,אומדן (5.0 נפ׳/בא)
אחיה,מטה בנימין,1997,דתי-לאומי,70,,70,82,2023,14,מרשם:70,מקור ישיר
גבעות הרואה,מטה בנימין,2003,דתי-לאומי,151,,151,50,2025,30,מרשם:151,מקור ישיר
גבעת הראל,מטה בנימין,1998,דתי-לאומי,,,525,105,2025,105,אומדן ממשפחות,מקור ישיר
דולב,מטה בנימין,1983,דתי-לאומי,1678,1593,1678,,,336,מרשם:1678 | ויקי:1593,אומדן (5.0 נפ׳/בא)
חלמיש,מטה בנימין,1977,דתי-לאומי,1525,1500,1525,,,305,מרשם:1525 | ויקי:1500,אומדן (5.0 נפ׳/בא)
חרשה,מטה בנימין,1997,דתי-לאומי,60,,60,75,2025,12,מרשם:60,מקור ישיר
טלמון,מטה בנימין,1989,דתי-לאומי,6274,6133,6274,,,1255,מרשם:6274 | ויקי:6133,אומדן (5.0 נפ׳/בא)
כוכב השחר,מטה בנימין,1980,דתי-לאומי,3042,2850,3042,,,608,מרשם:3042 | ויקי:2850,אומדן (5.0 נפ׳/בא)
כרם רעים,מטה בנימין,2001,דתי-לאומי,70,1200,1000,200,2024,200,מרשם:70 | ויקי:1200,מקור ישיר
מעלה לבונה,מטה בנימין,1984,דתי-לאומי,1073,1006,1073,,,215,מרשם:1073 | ויקי:1006,אומדן (5.0 נפ׳/בא)
מעלה מכמש,מטה בנימין,1981,דתי-לאומי,2337,2328,2337,,,467,מרשם:2337 | ויקי:2328,אומדן (5.0 נפ׳/בא)
נחליאל,מטה בנימין,1984,דתי-לאומי,1056,798,1056,,,211,מרשם:1056 | ויקי:798,אומדן (5.0 נפ׳/בא)
נריה,מטה בנימין,1991,דתי-לאומי,19,,2250,450,2023,450,מרשם:19,מקור ישיר
עדי עד,מטה בנימין,1990,דתי-לאומי,38,,38,50,2025,8,מרשם:38,מקור ישיר
עטרת,מטה בנימין,1981,דתי-לאומי,832,716,832,,,166,מרשם:832 | ויקי:716,אומדן (5.0 נפ׳/בא)
עלי,מטה בנימין,1984,דתי-לאומי,4847,5040,4847,,,969,מרשם:4847 | ויקי:5040,אומדן (5.0 נפ׳/בא)
עמיחי,מטה בנימין,2017,דתי-לאומי,409,409,409,,,82,מרשם:409 | ויקי:409,אומדן (5.0 נפ׳/בא)
עפרה,מטה בנימין,1975,דתי-לאומי,3324,3209,3324,,,665,מרשם:3324 | ויקי:3209,אומדן (5.0 נפ׳/בא)
פסגות,מטה בנימין,1981,דתי-לאומי,2332,2341,2332,,,466,מרשם:2332 | ויקי:2341,אומדן (5.0 נפ׳/בא)
קידה,מטה בנימין,2003,דתי-לאומי,,,750,150,2025,150,אומדן ממשפחות,מקור ישיר
רימונים,מטה בנימין,1980,מעורב,710,673,710,,,178,מרשם:710 | ויקי:673,אומדן (4.0 נפ׳/בא)
שבות רחל,מטה בנימין,1992,דתי-לאומי,42,,750,150,2025,150,מרשם:42,מקור ישיר
שילה,מטה בנימין,1978,דתי-לאומי,6227,6290,6227,,,1245,מרשם:6227 | ויקי:6290,אומדן (5.0 נפ׳/בא)
כרמי צור,גוש עציון,1984,דתי-לאומי,1119,987,1119,,,224,מרשם:1119 | ויקי:987,אומדן (5.0 נפ׳/בא)
תקוע,גוש עציון,1977,מעורב,5054,4900,5054,,,1264,מרשם:5054 | ויקי:4900,אומדן (4.0 נפ׳/בא)
בית חגי,הר חברון,1984,דתי-לאומי,848,851,848,,,170,מרשם:848 | ויקי:851,אומדן (5.0 נפ׳/בא)
ביתר עילית,(עיר),1985,חרדי,75514,73719,75514,,2026,11500,מרשם:75514 | ויקי:73719,אומדן (6.7 נפ׳/בא)
