
=== מועצה: שומרון ===
  אבני חפץ                        סמל=3793  סהכ=2742
  איתמר                           סמל=3762  סהכ=1734
  אלון מורה                       סמל=3579  סהכ=2164
  ברוכין                          סמל=3744  סהכ=2834
  ברכה                            סמל=3710  סהכ=3404
  ברקן                            סמל=3654  סהכ=2309
  חומש                            סמל=3642  סהכ=10
  חיננית                          סמל=3643  סהכ=1872
  חרמש                            סמל=3717  סהכ=304
  טל מנשה                         סמל=3873  סהכ=158
  יצהר                            סמל=3749  סהכ=2707
  יקיר                            סמל=3647  סהכ=2982
  כפר תפוח                        סמל=3572  סהכ=1532
  לשם                             סמל=3892  סהכ=9
  מבוא דותן                       סמל=3569  סהכ=955
  מגדלים                          סמל=3751  סהכ=938
  נופים                           סמל=3790  סהכ=1622
  סלעית                           סמל=3567  סהכ=1632
  עלי זהב                         סמל=3727  סהכ=5836
  ענב                             סמל=3712  סהכ=1345
  פדואל                           סמל=3768  סהכ=2309
  צופים                           סמל=3791  סהכ=3036
  קרית נטפים                      סמל=3746  סהכ=1214
  רבבה                            סמל=3795  סהכ=3411
  רחלים                           סמל=3822  סהכ=1348
  ריחן                            סמל=3568  סהכ=548
  שא-נור                          סמל=3711  סהכ=14
  שבי שומרון                      סמל=3571  סהכ=1182
  שחרית                           סמל=3868  סהכ=27
  שקד                             סמל=3649  סהכ=1190

=== מועצה: מטה בנימין ===
  אחיה                            סמל=3875  סהכ=70
  אלון                            סמל=3898  סהכ=5
  בית חורון                       סמל=3575  סהכ=1431
  גבע בנימין                      סמל=3763  סהכ=6535
  גבעון החדשה                     סמל=3644  סהכ=1203
  גבעות הרואה                     סמל=3862  סהכ=151
  גני מודיעין                     סמל=3823  סהכ=3667
  דולב                            סמל=3747  סהכ=1678
  חרשה                            סמל=3870  סהכ=60
  חשמונאים                        סמל=3770  סהכ=2903
  טלמון                           סמל=3788  סהכ=6274
  כוכב השחר                       סמל=3564  סהכ=3042
  כוכב יעקב                       סמל=3779  סהכ=3745
  כפר אדומים                      סמל=3638  סהכ=5304
  כפר האורנים                     סמל=3796  סהכ=2364
  כרם רעים                        סמל=3889  סהכ=70
  מבוא חורון                      סמל=3709  סהכ=2705
  מגרון                           סמל=3871  סהכ=110
  מעלה לבונה                      סמל=3752  סהכ=1073
  מעלה מכמש                       סמל=3651  סהכ=2337
  מצפה יריחו                      סמל=3576  סהכ=2867
  מתתיהו                          סמל=3648  סהכ=977
  נוה צוף                         סמל=3573  סהכ=1525
  נופי פרת                        סמל=3876  סהכ=11
  נחליאל                          סמל=3767  סהכ=1056
  נילי                            סמל=3655  סהכ=2291
  נעלה                            סמל=3787  סהכ=2964
  נריה                            סמל=3890  סהכ=19
  עדי עד                          סמל=3874  סהכ=38
  עופרה                           סמל=3617  סהכ=3324
  עטרת                            סמל=3658  סהכ=832
  עלי                             סמל=3765  סהכ=4847
  עלמון                           סמל=3715  סהכ=1524
  עמיחי                           סמל=3824  סהכ=409
  פסגות                           סמל=3659  סהכ=2332
  רימונים                         סמל=3565  סהכ=710
  שבות רחל                        סמל=3872  סהכ=42
  שילה                            סמל=3641  סהכ=6227
  תל ציון                         סמל=3815  סהכ=7641

=== מועצה: גוש עציון ===
  איבי הנחל                       סמל=3891  סהכ=39
  אלון שבות                       סמל=3604  סהכ=3582
  אלעזר                           סמל=3618  סהכ=2896
  אספר                            סמל=3754  סהכ=1647
  בר כוכבא                        סמל=3499  סהכ=81
  בת עין                          סמל=3794  סהכ=2121
  הר גילה                         סמל=3603  סהכ=1674
  כפר עציון                       סמל=3488  סהכ=1102
  כרמי צור                        סמל=3766  סהכ=1119
  מגדל עוז                        סמל=3561  סהכ=430
  מעלה עמוס                       סמל=3653  סהכ=1561
  נווה דניאל                      סמל=3725  סהכ=3087
  נוקדים                          סמל=3726  סהכ=3825
  קדר                             סמל=3781  סהכ=1636
  ראש צורים                       סמל=3602  סהכ=1163
  תקוע                            סמל=3563  סהכ=5054

=== מועצה: הר חברון ===
  אביגיל                          סמל=3869  סהכ=248
  אדורה                           סמל=3759  סהכ=664
  אדוריים                         סמל=3987  סהכ=117
  אשכולות                         סמל=3722  סהכ=615
  בית יתיר                        סמל=3745  סהכ=751
  חגי                             סמל=3764  סהכ=848
  טנא                             סמל=3743  סהכ=1197
  כרמל                            סמל=3656  סהכ=710
  מעון                            סמל=3657  סהכ=775
  מצפה זיף                        סמל=3899  סהכ=5
  נגוהות                          סמל=3724  סהכ=712
  סוסיה                           סמל=3756  סהכ=1612
  סנסנה                           סמל=3777  סהכ=884
  עשהאל                           סמל=3861  סהכ=523
  עתניאל                          סמל=3748  סהכ=989
  פני חבר                         סמל=3723  סהכ=663
  שמעה                            סמל=3784  סהכ=683
  שני                             סמל=1287  סהכ=546
  תלם                             סמל=3719  סהכ=729
