שם_בקשה,שם_במאגר,סמל_ישוב,מועצה_אזורית,נפה,סהכ_תושבים,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
אבני חפץ,אבני חפץ,3793,שומרון,טול כרם,2742,392,788,1101,202,185,74
איתמר,איתמר,3762,שומרון,שכם,1734,307,608,601,97,61,60
אלון מורה,אלון מורה,3579,שומרון,שכם,2164,384,737,742,115,54,132
עדי עד,עדי עד,3874,מטה בנימין,ראמאללה,38,13,12,13,0,0,0
אחיה,אחיה,3875,מטה בנימין,ראמאללה,70,13,33,21,2,1,0
ברכה,ברכה,3710,שומרון,שכם,3404,519,1325,1190,209,68,93
גבעות הרואה,גבעות הרואה,3862,מטה בנימין,ראמאללה,151,42,49,55,5,0,0
דולב,דולב,3747,מטה בנימין,ראמאללה,1678,208,553,608,126,91,92
חרמש,חרמש,3717,שומרון,ג'נין,304,24,53,102,32,37,56
חרשה,חרשה,3870,מטה בנימין,ראמאללה,60,7,39,9,4,1,0
טלמון,טלמון,3788,מטה בנימין,ראמאללה,6274,874,2409,2178,517,240,56
יצהר,יצהר,3749,שומרון,שכם,2707,607,1045,893,106,33,23
כוכב השחר,כוכב השחר,3564,מטה בנימין,ראמאללה,3042,466,1066,1059,198,119,134
כרם רעים,כרם רעים,3889,מטה בנימין,ראמאללה,70,16,29,25,0,0,0
כרמי צור,כרמי צור,3766,גוש עציון,חברון,1119,102,392,431,106,54,34
מבוא דותן,מבוא דותן,3569,שומרון,ג'נין,955,187,341,316,46,22,43
מעלה לבונה,מעלה לבונה,3752,מטה בנימין,ראמאללה,1073,222,307,400,50,42,52
מעלה מכמש,מעלה מכמש,3651,מטה בנימין,ראמאללה,2337,318,725,865,198,132,99
נחליאל,נחליאל,3767,מטה בנימין,ראמאללה,1056,229,358,379,31,31,28
נריה,נריה,3890,מטה בנימין,ראמאללה,19,2,9,5,3,0,0
עטרת,עטרת,3658,מטה בנימין,ראמאללה,832,128,292,301,51,33,27
עלי,עלי,3765,מטה בנימין,שכם,4847,815,1458,1830,355,188,201
עמיחי,עמיחי,3824,מטה בנימין,ראמאללה,409,73,167,135,32,2,0
פסגות,פסגות,3659,מטה בנימין,ראמאללה,2332,378,747,840,168,75,124
רחלים,רחלים,3822,שומרון,שכם,1348,247,569,466,56,5,5
רימונים,רימונים,3565,מטה בנימין,ראמאללה,710,56,173,258,83,69,71
שבות רחל,שבות רחל,3872,מטה בנימין,ראמאללה,42,11,14,17,0,0,0
שבי שומרון,שבי שומרון,3571,שומרון,שכם,1182,188,346,421,85,34,108
שילה,שילה,3641,מטה בנימין,ראמאללה,6227,1068,2368,2134,327,127,203
תקוע,תקוע,3563,גוש עציון,בית לחם,5054,539,1826,1733,470,185,301
ביתר עילית,ביתר עילית,3780,,בית לחם,75514,13863,27656,26052,4755,1791,1397
